================================================================================
CHUNK NO: 1
================================================================================
[METADATA DETAYLARI]
   - source: Aylik_Satis_Ozet_Ornek_Sablon.xlsx
   - sheet: Satış Özeti
   - file_type: excel
   - permission: user
   - columns_present: ['Ay', 'Bölge', 'Ürün', 'Satış Adedi', 'Ciro (₺)', 'Hedef Ciro (₺)', 'Kâr (₺)']
--------------------------------------------------------------------------------
[İÇERİK]
KAYNAK: Aylik_Satis_Ozet_Ornek_Sablon.xlsx > Satış Özeti
TÜR: Excel Tablosu
İÇERİK:
| Ay      | Bölge      | Ürün   |   Satış Adedi |   Ciro (₺) |   Hedef Ciro (₺) |   Kâr (₺) |
| Mart    | İç Anadolu | Ürün D |           150 |      42000 |          40041   |  14503.6  |
| Mart    | Karadeniz  | Ürün A |           269 |     205785 |         186567   |  45069.8  |
| Mart    | Karadeniz  | Ürün B |           434 |     261268 |         270711   |  66933.4  |
| Mart    | Karadeniz  | Ürün C |           267 |     164205 |         167249   |  27286.1  |
| Mart    | Karadeniz  | Ürün D |           233 |      75026 |          71157.1 |  23305.2  |
| Nisan   | Marmara    | Ürün A |           374 |     148478 |         145474   |  46516.1  |
| Nisan   | Marmara    | Ürün B |           193 |      77200 |          74432.8 |  14459.8  |
| Nisan   | Marmara    | Ürün C |           398 |     239596 |         249714   |  74730    |
| Nisan   | Marmara    | Ürün D |           197 |     135536 |         140712   |  30813.7  |
| Nisan   | Ege        | Ürün A |           387 |     260064 |         244932   |  67171.8  |
| Nisan   | Ege        | Ürün B |           347 |     160314 |         165444   |  50249.5  |
| Nisan   | Ege        | Ürün C |           109 |      21909 |          24083.5 |   7516.62 |
| Nisan   | Ege        | Ürün D |            86 |      30874 |          31695.9 |   6724.54 |
| Nisan   | İç Anadolu | Ürün A |           148 |      60236 |          65020.1 |  19722.3  |
| Nisan   | İç Anadolu | Ürün B |           169 |     132834 |         144407   |  40789.1  |
| Nisan   | İç Anadolu | Ürün C |           153 |      69309 |          62505.6 |  11802.9  |
| Nisan   | İç Anadolu | Ürün D |           148 |      52096 |          46939.1 |   9489.89 |
| Nisan   | Karadeniz  | Ürün A |           387 |     140094 |         144352   |  27297.9  |
| Nisan   | Karadeniz  | Ürün B |           210 |     163590 |         154993   |  35184.9  |
| Nisan   | Karadeniz  | Ürün C |           453 |     318459 |         327989   | 101857    |
| Nisan   | Karadeniz  | Ürün D |           450 |     104400 |         105288   |  26284    |
| Mayıs   | Marmara    | Ürün A |           424 |      93704 |          88906.2 |  32290.6  |
| Mayıs   | Marmara    | Ürün B |           414 |     315468 |         340204   |  87141    |
| Mayıs   | Marmara    | Ürün C |           275 |     130900 |         130969   |  34738.3  |
| Mayıs   | Marmara    | Ürün D |           497 |     337960 |         317361   |  99526    |
| Mayıs   | Ege        | Ürün A |           196 |     140140 |         126808   |  39112.3  |
| Mayıs   | Ege        | Ürün B |            66 |      24486 |          26643   |   8344.48 |
| Mayıs   | Ege        | Ürün C |           422 |     302574 |         294717   |  46321.5  |
| Mayıs   | Ege        | Ürün D |           329 |     180292 |         177702   |  61899.8  |
| Mayıs   | İç Anadolu | Ürün A |           148 |      46620 |          44703.4 |  10583.7  |
| Mayıs   | İç Anadolu | Ürün B |           210 |      95550 |          95268.7 |  21454.5  |
| Mayıs   | İç Anadolu | Ürün C |           272 |     208080 |         216238   |  54935.7  |
| Mayıs   | İç Anadolu | Ürün D |           329 |     160223 |         165707   |  35526.1  |
| Mayıs   | Karadeniz  | Ürün A |           176 |      62304 |          59753.2 |  13364.8  |
| Mayıs   | Karadeniz  | Ürün B |           153 |      90576 |          94244   |  20098.7  |
| Mayıs   | Karadeniz  | Ürün C |           219 |     161403 |         171414   |  52200.1  |
| Mayıs   | Karadeniz  | Ürün D |            62 |      43710 |          39384.3 |  12045.6  |
| Haziran | Marmara    | Ürün A |            69 |      35880 |          32801.1 |   8229.32 |
| Haziran | Marmara    | Ürün B |           191 |     127970 |         115880   |  34011    |
| Haziran | Marmara    | Ürün C |           337 |      84250 |          83670.3 |  21781.1  |
| Haziran | Marmara    | Ürün D |           174 |      60726 |          61829.2 |   9479.33 |
| Haziran | Ege        | Ürün A |           229 |      57937 |          58366.7 |  12475.6  |
| Haziran | Ege        | Ürün B |           313 |      78876 |          75272   |  27058.4  |
| Haziran | Ege        | Ürün C |           152 |      60040 |          64147   |  11340.1  |
| Haziran | Ege        | Ürün D |           399 |      98154 |         102071   |  17439.1  |
| Haziran | İç Anadolu | Ürün A |           193 |      90324 |          98806.1 |  26457.6  |
| Haziran | İç Anadolu | Ürün B |           196 |      62524 |          59658.3 |  14867.8  |
| Haziran | İç Anadolu | Ürün C |           488 |     265960 |         240712   |  91099.2  |
| Haziran | İç Anadolu | Ürün D |           328 |     106928 |         111119   |  24784.9  |
| Haziran | Karadeniz  | Ürün A |           107 |      76184 |          75305.6 |  15081.2  |
| Haziran | Karadeniz  | Ürün B |           167 |     126753 |         118713   |  42706    |
| Haziran | Karadeniz  | Ürün C |           434 |     204414 |         205097   |  57526.7  |
| Haziran | Karadeniz  | Ürün D |           118 |      52628 |          47867.4 |  13852.1  |


